epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8866,2.01117,3.21464,1.99868,0.30323,0.23975,0.18508,0.05971,1.99397,22.2593,1.94344,0.00066416,0.00066416,0.00066416
2,30.6948,2.0929,2.78231,2.12082,0.32135,0.2087,0.17013,0.06225,1.82235,7.63198,1.72076,0.00128691,0.00128691,0.00128691
3,44.6715,2.06046,2.63812,2.07006,0.35812,0.25342,0.22286,0.07197,1.8712,5.01638,1.80041,0.00186566,0.00186566,0.00186566
4,58.7268,2.03996,2.48874,2.06684,0.49271,0.37267,0.36096,0.13315,1.70987,5.7467,1.74635,0.001802,0.001802,0.001802
5,72.5376,1.96147,2.37671,2.0214,0.48941,0.4236,0.42087,0.14753,1.64462,3.29326,1.71651,0.001736,0.001736,0.001736
6,86.4837,1.92524,2.2941,1.97038,0.49535,0.44845,0.43532,0.17244,1.62101,2.74691,1.65289,0.00167,0.00167,0.00167
7,100.305,1.93373,2.19341,1.94531,0.52259,0.46505,0.44571,0.17673,1.6313,3.55931,1.65779,0.001604,0.001604,0.001604
8,114.265,1.88396,2.21799,1.92804,0.587,0.45023,0.49401,0.19981,1.54168,5.81766,1.57723,0.001538,0.001538,0.001538
9,128.137,1.83484,2.05409,1.8704,0.57416,0.43851,0.48885,0.19107,1.61067,4.16117,1.60076,0.001472,0.001472,0.001472
10,141.974,1.80425,2.02994,1.88499,0.52474,0.48696,0.43901,0.18716,1.52118,2.47113,1.55101,0.001406,0.001406,0.001406
11,155.892,1.78008,1.92756,1.83382,0.54189,0.49079,0.48766,0.21322,1.51624,2.33151,1.56522,0.00134,0.00134,0.00134
12,169.666,1.76729,1.96535,1.84989,0.67197,0.52547,0.60834,0.27323,1.45607,2.73911,1.49014,0.001274,0.001274,0.001274
13,183.574,1.74061,1.80219,1.8017,0.66285,0.56905,0.61327,0.29025,1.4222,2.23974,1.44993,0.001208,0.001208,0.001208
14,197.502,1.71252,1.84026,1.79908,0.64668,0.55776,0.61458,0.28061,1.47167,2.13988,1.48655,0.001142,0.001142,0.001142
15,211.427,1.69134,1.73854,1.77238,0.71054,0.58758,0.64413,0.30591,1.4117,1.82674,1.44792,0.001076,0.001076,0.001076
16,225.177,1.67696,1.68629,1.72147,0.74486,0.60621,0.66301,0.31204,1.42423,1.59935,1.43892,0.00101,0.00101,0.00101
17,239.097,1.64145,1.63099,1.71698,0.76585,0.61118,0.69649,0.33493,1.44621,1.72658,1.46823,0.000944,0.000944,0.000944
18,252.912,1.65219,1.66454,1.74625,0.70796,0.63354,0.67464,0.33523,1.36525,1.41413,1.39371,0.000878,0.000878,0.000878
19,266.899,1.60376,1.57389,1.69437,0.8088,0.64472,0.74378,0.37443,1.37809,1.37995,1.40206,0.000812,0.000812,0.000812
20,280.719,1.58927,1.53508,1.69042,0.77741,0.60124,0.69347,0.34986,1.37908,1.31746,1.41389,0.000746,0.000746,0.000746
21,299.154,1.58539,1.40097,1.75326,0.76663,0.63602,0.70452,0.33541,1.37391,1.82079,1.40452,0.00068,0.00068,0.00068
22,312.76,1.50104,1.2761,1.70172,0.77835,0.6323,0.71663,0.34826,1.38495,1.45805,1.41932,0.000614,0.000614,0.000614
23,326.331,1.47601,1.20353,1.67842,0.80364,0.6646,0.74333,0.37669,1.3295,1.53871,1.37632,0.000548,0.000548,0.000548
24,339.951,1.43443,1.12418,1.62217,0.77396,0.68199,0.74749,0.38774,1.31513,1.32412,1.37016,0.000482,0.000482,0.000482
25,353.47,1.44086,1.11846,1.64707,0.82853,0.6559,0.74688,0.3965,1.3344,1.17325,1.37892,0.000416,0.000416,0.000416
26,367.208,1.40389,1.06937,1.61176,0.82637,0.69317,0.77442,0.40902,1.29897,1.52086,1.36238,0.00035,0.00035,0.00035
27,380.737,1.36496,1.04609,1.59664,0.8461,0.66927,0.77338,0.4125,1.30053,1.15959,1.37557,0.000284,0.000284,0.000284
28,394.317,1.31929,0.99469,1.56691,0.81423,0.69691,0.77831,0.42661,1.29171,1.07688,1.36414,0.000218,0.000218,0.000218
29,407.912,1.27119,0.94005,1.52142,0.85687,0.66931,0.78208,0.41983,1.28082,1.00331,1.36419,0.000152,0.000152,0.000152
30,421.421,1.26648,0.93435,1.51615,0.83461,0.70837,0.78821,0.42778,1.27036,1.01626,1.34506,8.6e-05,8.6e-05,8.6e-05
